Consumer complaint narrative,label
"I paid off my car loan XXXX 2015. Istill do have not received a clear titleafter numerous contact with loan co. 
have been paying full coverage $ XXXXper month. can get liability for $ XXXXfor 6 months The payoff wasinstructed to send to XXXX XXXX XXXX XXXX XXXX, SC XXXX",Consumer Loan
"The loan company made calls to my references when I was late on making a payment. They left a voicemail. In the message ( I have them recorded ) they mention who they are, that they are looking for me and to tell me to call his auto loan company immediately. So, my references then call me to tell me about how my auto loan company is looking for you. Then a few days later, they left me an automated message. The message basically stated ( XXXX ) that you need to pay your payment and to press one to speak to a LEGAL REPRESENTATIVE. This is flat out illegal, as these are not legal representatives. It just connects you back to the auto loan company. I also have a number of these recorded.",Consumer Loan
"Castle Credit has called my job, therefore jeopardizing it in numerous times. 
Calling me at my home after XXXX and on week ends. 
Castle Credit has put a lien on my house for a loan less than {$8000.00}.",Consumer Loan
"First Niagara Bank was bought out by Key Bank. 
During the transition some accounts disappeared and such. 
For Me I was locked out of my account for over 40 days and could do nothing about it. 
I visited a branch and was told they would fix it, but did nothing. 
I have been in communication with the executive office and keep getting the run around and now several months later, issue is still yet to be resolved. 
I continue to have my credit damaged because of their failure to correct this error. 
They have waived late fees, but not any interest or doing anything to compensate for the issues arising out of the situation. 
The executive office refers me to the auto loan collections department who on 3 separate occasions have refused to update information that was advised by the executive office.",Consumer Loan
"A company named Avant has discriminated against me when I applied for A personal loan, I was approved but in the end they denied me, and refused to take my income after approval. I am now being harassed by this company they are switching passwords on me as well as hacking my accounts, hacked into my daughters phone, and my XXXX sons phone is not working properly due to the hacking, also my sons school meetings have been interfered by this company .they are worried I am going to file against them for discrimination, and harassment. they have caused me XXXX by toying, harassing,, and following me everywhere I go, preventing me from checking my credit accounts, and setting up my accounts and interfering with school meeting for my XXXX son. they are in all my bank accounts including credit cards, and they interfere when I pay on my accounts. this company Avant is very criminal, and I hope, and pray they do not keep on doing this to others also .they broke into my email, and not letting me in my mail to check messages for school or my credit accounts .they need to be investigated and prosecuted for this torment they do to people its awful. they have called me at XXXX XXXX am harassing me, and sending me messages with an old lady voice, calling my daughter with A XXXX number, they sent me a note on my cell saying they get an illicit thrill spying on me, I have asked them by email to leave me alone I do n't want any loan from them as they are criminal. I received emails at XXXX. there are many bad reviews on XXXX, and XXXX, XXXX, and news paper articles on their arrest due to discrimination, and harassing others the same as they are harassing me, and causing emotional stress I pray someone from FTC can help me with these criminals, and stop them from harassing me, and my family. this has been going on for 3 months now, and its now considered torture for us. can you please help me stop these criminals. the FTC has information on Avant they have A criminal record. they are using up all my XXXX on my daughters cell phone, and I want to get that money back from these thieves. they have done so much damage to me, and interfering with my daily life schedule for 3 months now. it has been pure torture for me, and my family we all are dealing with this company Avant, my XXXX son who is homeschooled has watched me cry, and its been awful for us. Can you please help me with this criminal company so they do n't torture anyone else like they have done to me. I thank you, and hope we can work together to prosecute them for harassment, and discrimination, and emotional distress so they do not do this to anyone else. I am willing to travel to the FTC to help with this. the chief of police, and the Attorney XXXX office has been helping me on this, and sending me your way. Thank You so much, and I look forward to hearing from you.",Consumer Loan
"American Credit Acceptance repossessed vehicle XXXX/XXXX/XXXX ; loan was current. Video recording of automated system. Demanded repo fees and late fees w/o 10 day discretionary notice ( informed them they were not entitled ). Made fraudulent entries in account payment history to reverse repo fees ( demanded monies be returned to me ). Recovery agent demanded add'l {$370.00} to release vehicle. XXXX XXXX XXXX XXXX XXXX packed purchase price of loan & added {$1500.00} cash down payment to purchase price of vehicle. Credit report indicates "" pays as agreed '' ; another agency has a 60 day delinquent entry ( 2 months prior entry states payment on time ) next month reported 30 days delinquent. Simple Interest Loan ; several payments of {$280.00} applied {$20.00} to principal or {$0.00} to principal. As of XXXX XXXX total payments $ XXXX/Interest posted $ XXXX/Principal posted {$1100.00}.",Consumer Loan
"I purchased a XXXX XXXX XXXX from XXXX XXXX buy here pay here in XXXX XXXX. According to there web -page application process they advertise Helping people rebuilding their credit. Not so, when asked if they report to the Credit Bureau I was advise no. Why advertise this This is deceptive and Abusive practice to customers who want a chance at rebuilding their credit No I have n't been on time, but let me believe is wrong. I want a refund of The payments I have made so I can work with honest people that wo n't lie tour To me. I would have never found this out if I had n't pulled my credit report..",Consumer Loan
"XXXX I purchase a vehicle XXXX XXXX through XXXX XXXX payment $ XXXX monthly- XX/XX/XXXX- XXXX- inter into agreement with Santander Consumer USA- with a original loan amount $ XXXX- Stated principal balance $ XXXX- payment to Santander {$880.00} that I'had XXXX payment -with Santander.- XX/XX/XXXX - State I ' have XXXX payment to make to Santander- principal balance {$11000.00} -have stated I ' Continues have accrued interest $ XXXX My estimated payoff is {$30000.00} ' Santander Consumer USA - repay for truck over again- I request to Sandtander why they have n't given me credit my military credit I went over to XXXX work for 2 years- Fax my proof ' Sandtander have refinance my loan add me in to bad debt, I went into Bankruptcy just before I'went overseas XXXX/XXXX/XXXX payment was up to date- bankruptcy sent Sandtander {$790.00} each month until XX/XX/XXXX- I Continues payment 'making 2-payment in a month after bankruptcy $ XXXX- Standtander deferment granted-payment $ XXXX.- the problem I 'm having why would Sandtander refinance my loan adding 22 more month to 20 years total 62 yrs. Sandtander this XX/XX/XXXX not fair to me of military - this was not XXXX year loan..sandtander rather refinance than take off interest for 2 years XXXX. add GAP inurance.",Consumer Loan
"This letter is to raise concern about service I recently received from a Key Bank XXXX branch. I was cold called even though I am on the do not call list on approximately XX/XX/2016 by a Key Bank XXXX employee and was offered a personal loan for credit card consolidation in the amount of $ XXXX My wife and I discussed it for several days and decided to submit the application and speed up our process on becoming debt fee from 10+ years down to 5 years according to the verbal offer made on the phone. On XX/XX/2016 we submitted the application. We were denied the loan even though we met the banks pre-approval criteria. We were then offered a contingent loan if we refinanced our auto loan through them with a lower monthly payment. The existing loan was to be paid off approximately XX/XX/XXXX or XX/XX/XXXX of this year and was at a .9 % interest rate. The wife and I again discussed the options and decided that even though the term would reset the timeline to five years and increase the interest rate to 4.69 % from .9 % interest rate, including loan origination and paperwork fees it would be less than wat we are paying in interest for the credit cards in the long run with the closing of the personal loan that was promised. During the auto loan closing process we were again reassured that everything would be fine and the personal loan would be approved upon the completion of the auto loan. Once we completed the auto loan process our credit was ran for the third time and we then were told the underwriter denied / revoked the original contingent offer even though we met the Banks pre-approval guidelines. At this time our credit had been ran three times affecting our credit score greatly, the Branch manager then offered to close a loan in the amount of {$15000.00} when we returned from a memorial service the following week. We then said ok it 's better than nothing. I called on XX/XX/XXXX to set up the closing the Branch manager then stated we had to wait another 30 days to run credit again when implying on the phone that we would just be modifying the terms with no further credit pulls. At this time I stated they are not going to run my credit for the fourth time and they needed to honor the original contingent offer. The branch manager then stated he would see what he can do. After calling the branch for several days asking for updates finally the Branch manager responded with there is nothing we can do. At this time I feel that several violations have occurred and are as follows but not limited to, do not call list violation, Bait and Switch, False advertising, revocation of a written and verbal agreement altering a financial situation for the worse, and potentially more. In conclusion my wife and I did not go looking for this situation the Bank came to us to help us better our financial situation, however quite the opposite has happened. The bank has greatly altered my financial situation negatively by negatively affecting our credit score and making potently harder for future loans or lines of credit, further raising our percentage rate on the auto loan while also now adding loan origination and paper work fees with prepayment penalties if we pay the loan of early as planned. If we would have allowed the Bank to continue to pull our credit over and over they would have. Furthermore when we raised question as to some of the denial reasons they were then changed to fit the needs of the bank such as insufficient credit file, we have over 20years of credit file, and insufficient liquidity. Liquidity was not even discussed and they have no idea what I have in other banks and retirement institutions.. How can we continue to trust this institution after what has happened with no remedy offered.",Consumer Loan
"Car reported stolen XXXX/XXXX/XXXX. Case # XXXX XXXX XXXX Police Department Detective XXXX XXXX - XXXX XXXX declared a "" TOTAL LOSS '' XXXX/XXXX/XXXX. ALLY FINANCIAL is the lien holder for the XXXX XXXX XXXX in question. XXXX XXXX declared total Loss but ALLY FINANCIAL is still taking my payments? 

I went to trade the vehicle in AFTER XXXX XXXX & ALLY FINANCIAL made me recover the FOUND stolen vehicle in California - for which XXXX OR Ally Financial have attained a SALVAGE Title unbeknownst to me. 

The car was declared "" Total Loss '' in XXXX. I HAVE GAP Insurance and ALLY FINANCIAL IS AWARE of that fact and has NOT ACTIVATED GAP despite my requests or questions ; as I was n't sure about GAP until recently. 

I want to complain and bring charges against BOTH entities for fraud. 

The XXXX XXXX XXXX XXXX XXXX XXXX AND ALLY FINANCIAL ARE NOT IN COMPLIANCE WITH GA LAW. Please advise. 

XXXX XXXX XXXX XXXXXXXXXXXX",Consumer Loan
